threshold,TP,FP,TN,FN,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,model
0.225,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.23,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.23500000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.24,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.245,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.25,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.255,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.26,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.265,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.27,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.275,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.28,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.28500000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.29,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.295,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.3,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.305,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.31,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.315,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.32,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.325,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.33,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.335,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.34,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.34500000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.35000000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.355,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.36,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.365,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.37,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.375,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.38,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.385,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.39,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.395,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.4,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.405,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.41000000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
0.41500000000000004,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PI-MLP full
